Symbol,Name,Sector,Industry
RLAY,Relay Therapeutics Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BELFA,Bel Fuse Inc. Class A Common Stock,Others,Others
DYN,Dyne Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
HP,Helmerich & Payne Inc. Common Stock,Energy,Oil & Gas Production
NTRSO,Northern Trust Corporation Depositary Shares Each Representing a 1/1000th Interest in a Share of Series E Non-Cumulative Perpetual Preferred Stock,Finance,Major Banks
UWMC,UWM Holdings Corporation Class A Common Stock,Finance,Finance: Consumer Services
AVNT,Avient Corporation Common Stock,Industrials,Major Chemicals
VAC,Marriott Vacations Worldwide Corporation Common Stock,Finance,Real Estate
PENG,Penguin Solutions Inc. Common Stock,Technology,Semiconductors
AVA,Avista Corporation Common Stock,Utilities,Power Generation
XXI,Twenty One Capital Inc. Class A Common Stock,Finance,Finance: Consumer Services
FUL,H. B. Fuller Company Common Stock,Industrials,Home Furnishings
WRBY,Warby Parker Inc. Class A Common Stock,Health Care,Ophthalmic Goods
OPCH,Option Care Health Inc. Common Stock,Health Care,Medical/Nursing Services
CALY,Callaway Golf Company Common Stock,Consumer Discretionary,Recreational Games/Products/Toys
SUNC,SunocoCorp LLC Common Units representing limited liability company interests,Energy,Integrated oil Companies
LEU,Centrus Energy Corp. Class A Common Stock,Industrials,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
ADEA,Adeia Inc. Common Stock,Technology,Computer Software: Prepackaged Software
IPAR,Interparfums Inc. Common Stock,Consumer Discretionary,Package Goods/Cosmetics
ARCB,ArcBest Corporation Common Stock,Industrials,Trucking Freight/Courier Services
ARQT,Arcutis Biotherapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
AB,AllianceBernstein Holding L.P.  Units,Finance,Investment Managers
CRGY,Crescent Energy Company Class A Common Stock,Energy,Oil & Gas Production
SFNC,Simmons First National Corporation Class A Common Stock,Finance,Major Banks
AZUL,Azul S.A. American Depositary Shares each representing two (2) Common Shares,Consumer Discretionary,Air Freight/Delivery Services
BILL,BILL Holdings Inc. Common Stock,Technology,EDP Services
PVH,PVH Corp. Common Stock,Industrials,Garments and Clothing
